State Date       Time   Providers Details
AL    2022-04-13 09-20  -22       ['AL,Albertville,35950,Cvs Store #04910', 'AL,Alexander City,35010,Pharmacy 456', 'AL,Auburn,36832,Pharmacy 579', 'AL,Bessemer,35022,Pharmacy 595', 'AL,Birmingham,35213,Pharmacy 435', 'AL,Clanton,35045,Pharmacy 411', 'AL,Fairhope,36532,Pharmacy 599', 'AL,Foley,36535,Pharmacy 570', 'AL,Fultondale,35068,Pharmacy 458', 'AL,Gadsden,35906,Pharmacy 442', 'AL,Jasper,35501,Pharmacy 496', 'AL,Mobile,36604,Pharmacy 1333', 'AL,Mobile,36608,Pharmacy 549', 'AL,Mobile,36608,Pharmacy 591', 'AL,Mobile,36609,Pharmacy 590', 'AL,Mobile,36619,Pharmacy 572', 'AL,Montgomery,36116,Pharmacy 448', 'AL,Northport,35475,Pharmacy 526', 'AL,Phenix City,36870,Pharmacy 433', 'AL,Semmes,36575,Pharmacy 473', 'AL,Tuscaloosa,35404,Pharmacy 407', 'AL,Tuscaloosa,35405,Pharmacy 479']
AL    2022-04-13 11-55  +4        ['AL,Huntsville,35802,Kroger Pharmacy 02600849', 'AL,Huntsville,35806,Kroger Pharmacy 02600677', 'AL,Madison,35758,Kroger Pharmacy 02600605', 'AL,Mobile,36609,Walmart Pharmacy #4657']
AL    2022-04-14 09-18  +4        ['AL,Birmingham,35203,Metro Hlth Ctr', 'AL,Birmingham,35213,Pharmacy 435', 'AL,Fultondale,35068,Pharmacy 458', 'AL,Jasper,35501,Pharmacy 496']
AL    2022-04-14 09-18  -2        ['AL,Gadsden,35903,Cvs Store #04845', 'AL,Grand Bay,36541,Cvs Store #04782']
AL    2022-04-15 06-03  +4        ['AL,Alexander City,35010,Pharmacy 456', 'AL,Fairhope,36532,Thomas Hospital', 'AL,Oxford,36203,Quick Meds Express Pharmacy', 'AL,Winfield,35594,Med360Rx']
AL    2022-04-15 06-03  -1        ['AL,Bessemer,35022,Cvs Store #04964']
AL    2022-04-16 05-33  +3        ['AL,Arab,35016,Parkway Pharmacy', 'AL,Auburn,36832,Pharmacy 579', 'AL,Dothan,36301,Circle Pharmacy']
AL    2022-04-17 05-32  +1        ['AL,Greensboro,36744,Boones Pharmacy Greensboro']
AL    2022-04-19 05-39  +5        ['AL,Clanton,35045,Pharmacy 411', 'AL,Daphne,36526,Rx4U At Malbis', 'AL,Madison,35758,Walmart Pharmacy #2690', 'AL,Mobile,36609,Pharmacy 590', 'AL,Tuscaloosa,35404,Pharmacy 407']
AL    2022-04-19 05-39  -1        ['AL,Gadsden,35901,Gadsden City Pharmacy']
AL    2022-04-20 05-27  +28       ['AL,Alabaster,35007,Cvs Store #17350', 'AL,Albertville,35950,Cvs Store #04910', 'AL,Auburn,36830,Cvs Store #10208', 'AL,Bessemer,35022,Cvs Store #04964', 'AL,Birmingham,35222,Cvs Store #04951', 'AL,Birmingham,35226,Cvs Store #17547', 'AL,Daphne,36526,Cvs Store #16621', 'AL,Dothan,36305,Cvs Store #07179', 'AL,Fairhope,36532,Cvs Store #04945', 'AL,Fultondale,35068,Cvs Store #17419', 'AL,Gadsden,35903,Cvs Store #04845', 'AL,Grand Bay,36541,Cvs Store #04782', 'AL,Homewood,35209,Cvs Store #17642', 'AL,Huntsville,35806,Cvs Store #16685', 'AL,Jasper,35501,Cvs Store #04834', 'AL,Leeds,35094,Cvs Store #04840', 'AL,Madison,35758,Cvs Store #17652', 'AL,Midfield,35228,Cvs Store #04832', 'AL,Montevallo,35115,Cvs Store #07112', 'AL,Montgomery,36108,Cvs Store #04947', 'AL,Montgomery,36117,Cvs Store #16946', 'AL,Oxford,36203,Cvs Store #17235', 'AL,Pelham,35124,Cvs Store #04814', 'AL,Prattville,36066,Cvs Store #17348', 'AL,Troy,36081,Cvs Store #04858', 'AL,Tuscaloosa,35401,Cvs Store #10811', 'AL,Tuscaloosa,35404,Cvs Store #04813', 'AL,Tuscaloosa,35404,Cvs Store #16910']
AL    2022-04-21 05-29  +7        ['AL,Bessemer,35022,Cvs Store #17439', 'AL,Gadsden,35903,Quality Of Life Health Complex', 'AL,Hoover,35244,Walmart Pharmacy #1229', 'AL,Mobile,36603,Franklin Medical Mall', 'AL,Mobile,36609,Cvs Store #01814', 'AL,Mobile,36695,Cvs Store #16715', 'AL,Northport,35475,Cvs Store #04372']
AL    2022-04-21 05-29  -1        ['AL,Mobile,36608,Cvs Store #02567']
AL    2022-04-22 05-26  +1        ['AL,Montgomery,36117,Pharmacy Care Associates']
AL    2022-04-22 05-26  -3        ['AL,Huntsville,35801,Med Mall Pharmacy', 'AL,Huntsville,35806,Omnicare Of Huntsville #48201', 'AL,Moody,35004,Cvs Store #04967']
AL    2022-04-23 05-25  +4        ['AL,Huntsville,35801,Med Mall Pharmacy', 'AL,Huntsville,35801,Walmart Pharmacy #375', 'AL,Huntsville,35803,Walmart Pharmacy #434', 'AL,Jasper,35501,Sam Glover Drug']
AL    2022-04-23 05-25  -1        ['AL,Warrior,35180,Cvs Store #04843']
AL    2022-04-26 05-20  +1        ['AL,Huntsville,35806,Omnicare Of Huntsville #48201']
AL    2022-04-27 05-23  +1        ['AL,Huntsville,35811,Kroger Pharmacy 02600517']
AL    2022-04-27 05-23  -2        ['AL,Daphne,36526,Cvs Store #04959', 'AL,Montgomery,36105,Cvs Store #04895']
AL    2022-04-28 09-22  +2        ['AL,Dothan,36301,Southeast Medicine Shop', 'AL,Gadsden,35901,Gadsden City Pharmacy']
AL    2022-04-28 09-22  -1        ['AL,Huntsville,35801,Med Mall Pharmacy']
AL    2022-04-29 05-13  +2        ['AL,Birmingham,35242,Medhelp 280', 'AL,Huntsville,35801,Med Mall Pharmacy']
AL    2022-04-29 05-13  -2        ['AL,Dothan,36301,Cvs Store #04878', 'AL,Opelika,36801,Cvs Store #16830']
AL    2022-04-30 05-15  +13       ['AL,Auburn,36830,Kroger Pharmacy 01100260', 'AL,Birmingham,35242,Cvs Store #16898', 'AL,Boaz,35957,Mill Street Pharmacy', 'AL,Daphne,36526,Cvs Store #04959', 'AL,Gulf Shores,36542,Cvs Store #17236', 'AL,Huntsville,35802,Cvs Store #16706', 'AL,Madison,35758,Madison Health Mart Pharmacy', 'AL,Mobile,36608,Cvs Store #02567', 'AL,Montgomery,36105,Cvs Store #04895', 'AL,Moody,35004,Cvs Store #04967', 'AL,Opelika,36801,Kroger Pharmacy 01100631', 'AL,Piedmont,36272,Cvs Store #04956', 'AL,Warrior,35180,Cvs Store #04843']
AL    2022-04-30 05-15  -2        ['AL,Bay Minette,36507,Cvs Store #04938', 'AL,Decatur,35601,Cvs Store #17172']
AL    2022-05-03 06-05  +1        ['AL,Lanett,36863,Kroger Pharmacy 01100310']
AL    2022-05-03 06-05  -6        ['AL,Bessemer,35020,Fms Pharmacy', 'AL,Evergreen,36401,Cvs Store #04847', 'AL,Florence,35630,Cvs Store #04817', 'AL,Hoover,35226,Ross Bridge Pharmacy', 'AL,Jasper,35501,English Plaza Pharmacy', 'AL,Montevallo,35115,Montevallo Drug']
AL    2022-05-04 05-12  +4        ['AL,Dothan,36301,Cvs Store #04878', 'AL,Gardendale,35071,Village Pharmacy', 'AL,Opelika,36801,Cvs Store #16830', 'AL,Tuscaloosa,35401,Dch Regional Medical Center']
AL    2022-05-04 05-12  -1        ['AL,Pinson,35126,Cvs Store #04926']
AL    2022-05-05 09-49  +1        ['AL,Tuscaloosa,35405,Pharmacy 479']
AL    2022-05-06 06-12  +5        ['AL,Bay Minette,36507,Cvs Store #04938', 'AL,Evergreen,36401,Cvs Store #04847', 'AL,Huntsville,35805,Walgreens Store #06464', 'AL,Mobile,36604,Pharmacy 1333', 'AL,Prichard,36613,Walgreens Store #12333']
AL    2022-05-06 06-12  -1        ['AL,Phenix City,36867,Cvs Store #04934']
AL    2022-05-07 05-45  +7        ['AL,Decatur,35601,Cvs Store #17172', 'AL,Florence,35630,Cvs Store #04817', 'AL,Florence,35630,Milner Rushing Drugs', 'AL,Helena,35080,Walmart Pharmacy #4189', 'AL,Montgomery,36106,Parks Pharmacy 4', 'AL,Muscle Shores,35661,Milner Rushing Drugs', 'AL,Pinson,35126,Cvs Store #04926']
AL    2022-05-10 06-06  +1        ['AL,Decatur,35601,Kroger Pharmacy 02600854']
AL    2022-05-10 06-06  -1        ['AL,Daphne,36526,Cvs Store #16621']
AL    2022-05-11 06-51  +14       ['AL,Alabaster,35007,Walgreens Store #09951', 'AL,Anniston,36206,Walgreens Store #19256', 'AL,Birmingham,35209,Walgreens Store #06034', 'AL,Birmingham,35211,Walgreens Store #07245', 'AL,Decatur,35601,Walgreens Store #09976', 'AL,Florence,35630,Walgreens Store #10109', 'AL,Florence,35630,Walgreens Store #10628', 'AL,Hazel Green,35750,Walgreens Store #17268', 'AL,Huntsville,35803,Walgreens Store #10850', 'AL,Jackson,36545,Walgreens Store #10982', 'AL,Midfield,35228,Walgreens Store #15613', 'AL,Montgomery,36105,Walgreens Store #19239', 'AL,Thomasville,36784,Walgreens Store #11115', 'AL,Tuscaloosa,35401,Walgreens Store #17955']
AL    2022-05-11 06-51  -3        ['AL,Aliceville,35442,Cvs Store #04946', 'AL,Hoover,35244,Walmart Pharmacy #1229', 'AL,Tallassee,36078,Walmart Pharmacy #1057']
AL    2022-05-12 07-16  +47       ['AL,Albertville,35950,Walgreens Store #11279', 'AL,Andalusia,36420,Walgreens Store #19608', 'AL,Athens,35611,Walgreens Store #10981', 'AL,Bessemer,35020,Fms Pharmacy', 'AL,Birmingham,35215,Walgreens Store #04846', 'AL,Birmingham,35215,Walgreens Store #11469', 'AL,Chelsea,35043,Walgreens Store #11531', 'AL,Cullman,35055,Walgreens Store #11180', 'AL,Dothan,36301,Walgreens Store #18103', 'AL,Dothan,36303,Walgreens Store #13111', 'AL,Enterprise,36330,Walgreens Store #09256', 'AL,Eufaula,36027,Walgreens Store #19668', 'AL,Florence,35630,Walgreens Store #17402', 'AL,Foley,36535,Walgreens Store #01318', 'AL,Fort Payne,35968,Walgreens Store #10523', 'AL,Fultondale,35068,Walgreens Store #19770', 'AL,Gardendale,35071,Walgreens Store #06488', 'AL,Grand Bay,36541,Walgreens Store #10168', 'AL,Guntersville,35976,Walgreens Store #12911', 'AL,Hoover,35226,Ross Bridge Pharmacy', 'AL,Huntsville,35810,Walgreens Store #06956', 'AL,Huntsville,35816,Walgreens Store #06431', 'AL,Jasper,35501,English Plaza Pharmacy', 'AL,Leeds,35094,Walgreens Store #10110', 'AL,Madison,35756,Walgreens Store #13793', 'AL,Meridianville,35759,Walgreens Store #18036', 'AL,Mobile,36604,Walgreens Store #06507', 'AL,Mobile,36606,Walgreens Store #17115', 'AL,Mobile,36608,Walgreens Store #19191', 'AL,Mobile,36618,Walgreens Store #17273', 'AL,Mobile,36619,Walgreens Store #06085', 'AL,Montevallo,35115,Montevallo Drug', 'AL,Montgomery,36116,Walgreens Store #06843', 'AL,Opelika,36801,Walgreens Store #10947', 'AL,Opp,36467,Walgreens Store #19052', 'AL,Oxford,36203,Walgreens Store #17398', 'AL,Pell City,35125,Walgreens Store #10480', 'AL,Phenix City,36867,Cvs Store #04934', 'AL,Pinson,35126,Walgreens Store #19797', 'AL,Prattville,36067,Walgreens Store #06800', 'AL,Robertsdale,36567,Walgreens Store #19324', 'AL,Selma,36703,Walgreens Store #10524', 'AL,Semmes,36575,Walgreens Store #17443', 'AL,Sheffield,35660,Walgreens Store #19289', 'AL,Spanish Fort,36527,Walgreens Store #10169', 'AL,Spanish Fort,36527,Walgreens Store #19255', 'AL,Troy,36079,Walgreens Store #11098']
AL    2022-05-12 07-16  -1        ['AL,Gadsden,35901,Gadsden City Pharmacy']
AL    2022-05-13 06-07  +12       ['AL,Boaz,35957,Walgreens Store #10965', 'AL,Chickasaw,36611,Walgreens Store #17323', 'AL,Clanton,35045,Walgreens Store #18148', 'AL,Greenville,36037,Walgreens Store #11468', 'AL,Hoover,35244,Walmart Pharmacy #1229', 'AL,Mobile,36604,Walgreens Store #15480', 'AL,Montgomery,36117,Walgreens Store #07746', 'AL,Northport,35476,Walgreens Store #05861', 'AL,Orange Beach,36561,Walgreens Store #17739', 'AL,Tallassee,36078,Walmart Pharmacy #1057', 'AL,Tuscaloosa,35404,Walgreens Store #11404', 'AL,Wetumpka,36092,Walgreens Store #10664']
AL    2022-05-13 06-07  -2        ['AL,Athens,35611,Walgreens Store #10981', 'AL,Owens Cross Roads,35763,Walmart Pharmacy #5197']
AL    2022-05-14 08-49  +11       ['AL,Atmore,36502,Walgreens Store #10761', 'AL,Brewton,36426,Walgreens Store #10762', 'AL,Daphne,36526,Cvs Store #16621', 'AL,Irondale,35210,Walgreens Store #06977', 'AL,Mobile,36607,Ih Rx4U Store #2', 'AL,Mobile,36695,Walgreens Store #06639', 'AL,Owens Cross Roads,35763,Walmart Pharmacy #5197', 'AL,Rainbow City,35906,Walgreens Store #07716', 'AL,Saraland,36571,Rx4U At Saraland', 'AL,Sumiton,35148,Walgreens Store #11450', 'AL,Tuscaloosa,35405,Walgreens Store #10525']
AL    2022-05-14 08-49  -7        ['AL,Bay Minette,36507,North Baldwin Infirmary', 'AL,Birmingham,35212,Christ Health Center', 'AL,Birmingham,35242,U-Save Pharmacy #35', 'AL,Centreville,35042,Bibb Medical Center Pharmacy', 'AL,Florence,35630,Cvs Store #16663', 'AL,Opelika,36801,East Alabama Medical Center', 'AL,Opelika,36804,Beauregard Drugs']
AL    2022-05-15 05-54  -3        ['AL,Fort Rucker,36362,Lyster Army Health Clinic', 'AL,Huntsville,35898,Fox Army Health Clinic', 'AL,Maxwell Afb,36112,42Nd Mdss']
AL    2022-05-17 05-27  +17       ['AL,Anniston,36201,Walgreens Store #07951', 'AL,Anniston,36207,Walgreens Store #11819', 'AL,Athens,35611,Walgreens Store #10981', 'AL,Bessemer,35022,Pharmacy 595', 'AL,Birmingham,35214,Walgreens Store #05073', 'AL,Birmingham,35242,Double Oak Mountain Pharmacy', 'AL,Centreville,35042,Bibb Medical Center Pharmacy', 'AL,Dadeville,36853,Walgreens Store #18374', 'AL,Dothan,36305,Walgreens Store #19058', 'AL,Fairhope,36532,Pharmacy 599', 'AL,Foley,36535,Pharmacy 570', 'AL,Gadsden,35906,Pharmacy 442', 'AL,Hartselle,35640,Walgreens Store #10966', 'AL,Jasper,35504,Walgreens Store #09683', 'AL,Millbrook,36054,Pharmacy 451', 'AL,Mobile,36606,Walgreens Store #07609', 'AL,Mobile,36619,Pharmacy 572']
AL    2022-05-17 05-27  -2        ['AL,Irondale,35210,Walgreens Store #06977', 'AL,Montgomery,36116,Walgreens Store #06843']
AL    2022-05-18 05-40  +3        ['AL,Alexander City,35010,Walgreens Store #15614', 'AL,Aliceville,35442,Cvs Store #04946', 'AL,Northport,35475,Pharmacy 526']
AL    2022-05-18 05-40  -2        ['AL,Greenville,36037,Cvs Store #04953', 'AL,Mobile,36605,Cvs Store #04903']
AK    2021-12-29 09-02  +4        ['AK,Anchorage,99507,Walgreens Store #15654', 'AK,Anchorage,99508,Alaska Native Medical Center', 'AK,Soldotna,99669,Walgreens Store #16059', 'AK,Wasilla,99654,Walgreens Store #12681']
AK    2022-01-10 10-10  -1        ['AK,Anchorage,99508,Alaska Native Medical Center']
AK    2022-01-11 08-35  +3        ['AK,Fort Wainwright,99703,Bassett Army Community Hospital', 'AK,Jber,99506,673 Mdss/Sgsm', 'AK,Naknek,99633,Camai Comm Hlth Ctr Inc']
AK    2022-01-11 08-35  -1        ['AK,Juneau,99801,Safeway Pharmacy']
AK    2022-01-13 10-07  +1        ['AK,Juneau,99801,Safeway Pharmacy']
AK    2022-01-13 10-07  -1        ['AK,Fairbanks,99709,Safeway Pharmacy']
AK    2022-01-14 15-37  +3        ['AK,Sitka,99835,Harry Race Pharmacy', 'AK,Sitka,99835,Southeast Alaska Regional Health Co', 'AK,Soldotna,99669,Soldotna Professional Pharmacy']
AK    2022-01-19 08-05  +3        ['AK,Anchorage,99515,Carrs Pharmacy', 'AK,Fairbanks,99709,Safeway Pharmacy', 'AK,Juneau,99801,Bartlett Regional Hospital']
AK    2022-01-19 08-05  -1        ['AK,Juneau,99801,Safeway Pharmacy']
AK    2022-01-21 18-08  +2        ['AK,Anchorage,99504,V20 463 Anchorage, Ak', 'AK,Juneau,99801,Safeway Pharmacy']
AK    2022-01-21 18-08  -1        ['AK,Fairbanks,99709,Safeway Pharmacy']
AK    2022-01-24 09-15  +2        ['AK,Fairbanks,99709,Safeway Pharmacy', 'AK,Kodiak,99615,Safeway Pharmacy']
AK    2022-01-28 09-28  +2        ['AK,Fairbanks,99701,Walgreens Store #15944', 'AK,Wasilla,99654,Urgent Care At Lake Lucille']
AK    2022-01-28 17-11  +1        ['AK,Soldotna,99669,Urgent Care Of Soldotna']
AK    2022-02-02 09-09  -4        ['AK,Anchorage,99507,Walgreens Store #15654', 'AK,Fairbanks,99701,Walgreens Store #15944', 'AK,Soldotna,99669,Walgreens Store #16059', 'AK,Wasilla,99654,Urgent Care At Lake Lucille']
AK    2022-02-04 09-14  +3        ['AK,Anchorage,99507,Walgreens Store #15654', 'AK,Eielson Afb,99702,354 Mdg', 'AK,Fairbanks,99701,Walgreens Store #15944']
AK    2022-02-09 09-41  +2        ['AK,Kodiak,99615,Kodiak Island Ambulatory Care Clini', 'AK,Nome,99762,Norton Sound Hlth Corp Fam Med Clin']
AK    2022-02-10 21-04  +3        ['AK,Seward,99664,Providence Seward Medical Center', 'AK,Soldotna,99669,Walgreens Store #16059', 'AK,Wasilla,99654,Urgent Care At Lake Lucille']
AK    2022-02-10 21-04  -7        ['AK,Anchorage,99504,V20 463 Anchorage, Ak', 'AK,Eielson Afb,99702,354 Mdg', 'AK,Fort Wainwright,99703,Bassett Army Community Hospital', 'AK,Jber,99506,673 Mdss/Sgsm', 'AK,Kodiak,99615,Kodiak Island Ambulatory Care Clini', 'AK,Nome,99762,Norton Sound Hlth Corp Fam Med Clin', 'AK,Sitka,99835,Southeast Alaska Regional Health Co']
AK    2022-02-16 18-37  +8        ['AK,Anchorage,99502,Carrs Pharmacy', 'AK,Anchorage,99504,V20 463 Anchorage, Ak', 'AK,Eielson Afb,99702,354 Mdg', 'AK,Fort Wainwright,99703,Bassett Army Community Hospital', 'AK,Jber,99506,673 Mdss/Sgsm', 'AK,Kodiak,99615,Kodiak Island Ambulatory Care Clini', 'AK,Nome,99762,Norton Sound Hlth Corp Fam Med Clin', 'AK,Sitka,99835,Southeast Alaska Regional Health Co']
AK    2022-02-16 18-37  -1        ['AK,Seward,99664,Providence Seward Medical Center']
AK    2022-02-18 16-04  +1        ['AK,Eagle River,99577,Walgreens Store #15362']
AK    2022-02-22 09-09  -2        ['AK,Anchorage,99504,V20 463 Anchorage, Ak', 'AK,Wasilla,99654,Walgreens Store #12681']
AK    2022-03-03 09-56  +4        ['AK,Anchorage,99508,Southcentral Foundation', 'AK,Seward,99664,Safeway Pharmacy', 'AK,Sitka,99835,Searhc Mt Edgecumbe Hosp Pharmacy', 'AK,Wasilla,99654,Walgreens Store #12681']
AK    2022-03-03 10-04  +1        ['AK,Seward,99664,North Star Health Clinic Pharmacy']
AK    2022-03-08 14-40  -1        ['AK,Eagle River,99577,Walgreens Store #15362']
AK    2022-03-16 18-51  +2        ['AK,Palmer,99645,Carrs Pharmacy', 'AK,Seward,99664,Providence Seward Medical Center']
AK    2022-03-16 18-51  -8        ['AK,Anchorage,99508,Southcentral Foundation', 'AK,Eielson Afb,99702,354 Mdg', 'AK,Fort Wainwright,99703,Bassett Army Community Hospital', 'AK,Jber,99506,673 Mdss/Sgsm', 'AK,Kodiak,99615,Kodiak Island Ambulatory Care Clini', 'AK,Nome,99762,Norton Sound Hlth Corp Fam Med Clin', 'AK,Sitka,99835,Searhc Mt Edgecumbe Hosp Pharmacy', 'AK,Soldotna,99669,Soldotna Professional Pharmacy']
AK    2022-03-18 09-58  +5        ['AK,Anchorage,99507,Fred Meyer Pharmacy 70100656', 'AK,Barrow,99723,Samuel Simmonds Memorial Hospital', 'AK,Cordova,,Cordova Community Medical Center', 'AK,Nome,99762,Norton Sound Hlth Corp Fam Med Clin', 'AK,Seward,,North Star Health Clinic Pharmacy']
AK    2022-03-18 09-58  -3        ['AK,Seward,99664,North Star Health Clinic Pharmacy', 'AK,Sitka,99835,Harry Race Pharmacy', 'AK,Wasilla,99654,Urgent Care At Lake Lucille']
AK    2022-03-18 11-17  +5        ['AK,Anchorage,99508,Alaska Psychiatric Institute', 'AK,Cordova,99574,Cordova Community Medical Center', 'AK,Seward,99664,North Star Health Clinic Pharmacy', 'AK,Sitka,99835,Harry Race Pharmacy', 'AK,Wasilla,99654,Urgent Care At Lake Lucille']
AK    2022-03-18 11-17  -6        ['AK,Barrow,99723,Samuel Simmonds Memorial Hospital', 'AK,Cordova,,Cordova Community Medical Center', 'AK,Naknek,99633,Camai Comm Hlth Ctr Inc', 'AK,Nome,99762,Norton Sound Hlth Corp Fam Med Clin', 'AK,Seward,,North Star Health Clinic Pharmacy', 'AK,Sitka,99835,Southeast Alaska Regional Health Co']
AK    2022-03-21 06-11  -1        ['AK,Soldotna,99669,Urgent Care Of Soldotna']
AK    2022-03-21 16-35  +1        ['AK,Skagway,99840,Dahl Memorial Clinic']
AK    2022-03-23 08-41  +2        ['AK,Anchorage,99517,Carrs Pharmacy', 'AK,Soldotna,99669,Urgent Care Of Soldotna']
AK    2022-03-23 08-41  -1        ['AK,Seward,99664,Providence Seward Medical Center']
AK    2022-03-24 13-46  +1        ['AK,Wasilla,99654,Carrs Pharmacy']
AK    2022-03-24 13-46  -1        ['AK,Sitka,99835,Harry Race Pharmacy']
AK    2022-03-25 08-10  +4        ['AK,Naknek,99633,Camai Comm Hlth Ctr Inc', 'AK,Sitka,99835,Harry Race Pharmacy', 'AK,Sitka,99835,Southeast Alaska Regional Health Co', 'AK,Unalaska,99685,Iliuliuk Family And Health Services']
AK    2022-03-27 06-25  +1        ['AK,Ketchikan,99901,Safeway Pharmacy']
AK    2022-03-28 06-21  +2        ['AK,Nome,99762,Norton Sound Hlth Corp Fam Med Clin', 'AK,Seward,99664,Providence Seward Medical Center']
AK    2022-03-29 08-50  +2        ['AK,Barrow,99723,Samuel Simmonds Memorial Hospital', 'AK,Soldotna,99669,Soldotna Professional Pharmacy']
AK    2022-03-31 08-53  +3        ['AK,Anchorage,99503,Beacon Ohss Inc', 'AK,Fairbanks,99701,Steese Immediate Care', 'AK,Juneau,99801,Genoa Healthcare, Llc  Site 20242']
AK    2022-03-31 08-53  -1        ['AK,Anchorage,99508,Alaska Psychiatric Institute']
AK    2022-04-02 06-05  -1        ['AK,Nome,99762,Norton Sound Hlth Corp Fam Med Clin']
AK    2022-04-04 05-38  +1        ['AK,Homer,99603,Safeway Pharmacy']
AK    2022-04-05 05-48  +1        ['AK,Kodiak,99615,Kodiak Community Health Center']
AK    2022-04-05 05-48  -1        ['AK,Sitka,99835,Southeast Alaska Regional Health Co']
AK    2022-04-06 05-45  +6        ['AK,Anchorage,99508,Credena Health Pharmacy Anchorage', 'AK,Eagle River,99577,Fred Meyer Pharmacy 70100668', 'AK,Fairbanks,99701,Fred Meyer Pharmacy 70100224', 'AK,Fairbanks,99709,Fred Meyer Pharmacy 70100485', 'AK,Palmer,99645,Fred Meyer Pharmacy 70100649', 'AK,Soldotna,99669,Fred Meyer Pharmacy 70100017']
AK    2022-04-07 05-34  +3        ['AK,Fairbanks,99701,Denali Pharmacy', 'AK,Sitka,99835,Southeast Alaska Regional Health Co', 'AK,Wasilla,99654,Fred Meyer Pharmacy 70100653']
AK    2022-04-07 05-34  -1        ['AK,Naknek,99633,Camai Comm Hlth Ctr Inc']
AK    2022-04-09 05-41  +1        ['AK,Juneau,99801,Fred Meyer Pharmacy 70100158']
AK    2022-04-12 07-06  +1        ['AK,Naknek,99633,Camai Comm Hlth Ctr Inc']
AK    2022-04-13 09-20  +4        ['AK,Anchorage,99504,Fred Meyer Pharmacy 70100018', 'AK,Anchorage,99508,Fred Meyer Pharmacy 70100011', 'AK,Anchorage,99515,Fred Meyer Pharmacy 70100071', 'AK,Ninilchik,99639,Ninilchik Community Clinic']
AK    2022-04-13 09-20  -1        ['AK,Seward,99664,Providence Seward Medical Center']
AK    2022-04-14 09-18  +4        ['AK,Eagle River,99577,Walgreens Store #15362', 'AK,Kenai,99611,Safeway Pharmacy', 'AK,North Pole,99705,Safeway Pharmacy', 'AK,Seward,99664,Providence Seward Medical Center']
AK    2022-04-15 06-03  +7        ['AK,Anchorage,99503,Walmart Pharmacy #2070', 'AK,Anchorage,99504,Walmart Pharmacy #4359', 'AK,Anchorage,99515,Walmart Pharmacy #2071', 'AK,Fairbanks,99701,Walmart Pharmacy #2722', 'AK,Juneau,99801,Genoa Healthcare, Llc', 'AK,Kenai,99611,Walmart Pharmacy #4474', 'AK,Kodiak,99615,Walmart Pharmacy #2711']
AK    2022-04-15 06-03  -1        ['AK,Anchorage,99507,Walgreens Store #15654']
AK    2022-04-16 05-33  +1        ['AK,Anchorage,99507,Walgreens Store #15654']
AK    2022-04-19 05-39  +1        ['AK,Ketchikan,99901,Walmart Pharmacy #2710']
AK    2022-04-20 05-27  -1        ['AK,Sitka,99835,Harry Race Pharmacy']
AK    2022-04-23 05-25  +2        ['AK,Eagle River,99577,Walmart Pharmacy #2188', 'AK,Sitka,99835,Harry Race Pharmacy']
AK    2022-04-27 05-23  +1        ['AK,Petersburg,99833,Petersburg Rexall Drug, Inc.']
AK    2022-04-28 09-22  +1        ['AK,Jber,99506,673 Mdss/Sgsm']
AK    2022-04-29 05-13  -1        ['AK,Juneau,99801,Genoa Healthcare, Llc  Site 20242']
AK    2022-04-30 05-15  +1        ['AK,Juneau,99801,Searhc Juneau Medical Center Pharma']
AK    2022-05-01 05-13  +1        ['AK,Anchorage,99504,Fairweather']
AK    2022-05-03 06-05  +2        ['AK,Palmer,99645,The Family Health Center', 'AK,Wasilla,99654,Walmart Pharmacy #2074']
AK    2022-05-04 05-12  +1        ['AK,Ketchikan,99901,Island Pharmacy Incorporated']
AK    2022-05-04 05-12  -1        ['AK,Juneau,99801,Safeway Pharmacy']
AK    2022-05-05 09-49  +1        ['AK,Valdez,99686,The Alfa Doc']
